Provider,docDegMax,docBtwnMean,docEignMean,docMANN
PRV51062,0,0,1.1702399877999708e-4,NaN
PRV51063,0,0,1.1702399877999708e-4,NaN
PRV51064,12,110.08883928571426,0.23993022093918795,4.518518518518518
PRV51065,4,201.6833333333333,0.006450685067762112,5.25
PRV51066,1,0,2.1043099702924647e-4,8
PRV51067,9,1096.1290667665664,0.016618691100721103,7.888888888888889
PRV51068,2,50,7.080400345260795e-6,1.1363636363636362
PRV51069,2,88.81547619047622,7.419188134251943e-4,6
PRV51070,5,90.46666666666673,0.008493910324716476,1.9375
PRV51071,2,0,9.4858388095093e-5,3
PRV51072,6,44.6915343915344,0.11147101657264318,4.4
PRV51073,1,0,0.0028134749905883794,2
PRV51074,1,0,1.733583668264437e-5,1.5
PRV51075,0,0,1.1702399877999708e-4,NaN
PRV51076,3,1218,4.706058962825602e-4,5
PRV51077,6,714.9186507936506,0.03816730783021443,8
PRV51078,4,120.38015873015871,0.0031116508655897905,11.333333333333334
PRV51079,3,99,8.20253099310265e-5,3.583333333333333
PRV51080,7,46.55317460317462,0.004260383145873306,3.1
PRV51081,0,0,5.851199938999854e-5,NaN
PRV51082,5,167.94860833610835,0.04909833640923407,10.2
PRV51083,3,0,0.0013135645552709793,2.95
PRV51084,3,64.83134920634922,0.006829129560219947,13.333333333333334
PRV51085,6,1089.9880952380947,0.012278399401238184,7.125
PRV51086,5,69.4333028083028,0,1.4285714285714286
PRV51087,2,99,1.15931316898381e-4,4
PRV51088,4,50.66785714285711,0.1613304267326752,2.7222222222222223
PRV51089,8,69.82706321456322,0.1181276924463609,4.25
PRV51090,0,0,1.1702399877999708e-4,NaN
PRV51091,2,0,0.08198337362135093,4
PRV51092,1,0,2.3024908045475568e-4,3.666666666666667
PRV51093,4,262,1.7430718322537753e-4,3.2
PRV51094,0,0,5.854182777484726e-5,NaN
PRV51095,2,51.70833333333332,2.023659203450399e-4,6
PRV51096,1,0,3.4075088843533573e-4,15
PRV51097,0,0,1.1702399877999708e-4,NaN
PRV51098,0,0,1.1702399877999708e-4,NaN
PRV51099,1,0,0,7
PRV51100,1,0,0.019352432386041372,3
PRV51101,0,0,1.1702399877999708e-4,NaN
PRV51102,0,0,1.1702399877999708e-4,NaN
PRV51103,1,0,2.1343709349924686e-4,10.5
PRV51104,1,0,3.20855343165649e-4,6.5
PRV51105,1,0,1.6642929777105036e-4,2
PRV51106,1,0,0.12394264193309915,13
PRV51107,1,0,4.421055810818601e-4,7
PRV51108,0,0,1.1702399877999708e-4,NaN
PRV51109,2,6.5,3.711186261082671e-4,13
PRV51110,0,0,3.9007999593332363e-5,NaN
PRV51111,2,100,1.5354324283992272e-4,1.3333333333333333
PRV51112,2,198,0.0024627000701839684,5
PRV51113,2,0,9.634007689229937e-5,1.6666666666666667
PRV51114,2,0,9.635551391294678e-5,1.6666666666666667
PRV51115,1,0,1.0686361845774645e-4,1.5
PRV51116,1,0,0.004987322267109792,3.5
PRV51117,0,0,5.854182777484726e-5,NaN
PRV51118,0,0,1.1702399877999708e-4,NaN
PRV51119,1,0,0.05937679480659607,27
PRV51120,0,0,1.1702399877999708e-4,NaN
PRV51121,1,0,0.05937678943937688,27
PRV51122,0,0,0.9999998664566185,NaN
PRV51123,0,0,0.24999996661415463,NaN
PRV51124,0,0,0.9999998664566185,NaN
PRV51125,1,0,0.49999855956369665,1
PRV51126,0,0,0.9999998664566185,NaN
PRV51127,1,0,1.8286944248056475e-5,1
PRV51128,0,0,0.19999997345319248,NaN
PRV51129,1,0,0.11255551615313152,1
PRV51130,0,0,0.9999998664566185,NaN
PRV51131,1,0,3.595175640339046e-5,1
PRV51132,0,0,0.49999993322830927,NaN
PRV51133,0,0,0.49999993322830927,NaN
PRV51134,0,0,0.9999998664566185,NaN
PRV51135,0,0,0.9999998664566185,NaN
PRV51136,0,0,0.9999998664566185,NaN
PRV51137,2,2,2.6978130135253194e-10,2
PRV51138,0,0,2.7688158469386817e-4,NaN
PRV51139,1,0,0.11120840609941457,1
PRV51140,0,0,2.6978130135253194e-10,NaN
PRV51141,0,0,1.3489065067626597e-10,NaN
PRV51142,1,0,0.05257606813949637,3
PRV51143,3,0.5,0.14055167683782266,2
PRV51144,0,0,2.6978130135253194e-10,NaN
PRV51145,0,0,4.26676324613125e-8,NaN
PRV51146,1,0,0.041536916831728526,1
PRV51147,0,0,1.6186878081151916e-10,NaN
PRV51148,8,354.54739649732784,5.124651467921726e-4,1.962962962962963
PRV51149,1,0,1.6186878081151916e-10,2
PRV51150,0,0,2.978640833251299e-7,NaN
PRV51151,3,0.9523809523809523,0.050623773749830306,1.5
PRV51152,0,0,1.4893204166256494e-7,NaN
PRV51153,2,0.21428571428571427,0.07181989248090898,1.25
PRV51154,0,0,7.466835680729687e-8,NaN
PRV51155,0,0,4.046719520287979e-10,NaN
PRV51156,2,6,0.014107022028514105,2.5
PRV51157,0,0,5.552668543423622e-4,NaN
PRV51158,1,0,0.0591462229668201,6
PRV51159,1,0,0.052812787077723675,4
PRV51160,2,3,0.0020501011370348435,1.75
PRV51161,0,0,8.240885311956115e-7,NaN
PRV51162,1,0,1.4465511306890182e-7,5.5
PRV51163,1,0,0.04690039084683374,1.25
PRV51164,0,0,0.19999997345319248,NaN
PRV51165,2,0.5384615384615384,0.08147456774582765,4.444444444444445
PRV51166,0,0,4.046719520287979e-10,NaN
PRV51167,0,0,0.06253867461821937,NaN
PRV51168,1,0,5.027208813849554e-8,6
PRV51169,2,0.4117647058823529,0.061333468204885416,2
PRV51170,0,0,1.2669593675947806e-8,NaN
PRV51171,0,0,0.0628944319456297,NaN
PRV51172,3,0,7.60367534971781e-5,2.066666666666667
PRV51173,1,0,0.0020102812087749206,2
PRV51174,2,0.5,0.19061104623954264,1.125
PRV51175,0,0,5.9572816665025976e-8,NaN
PRV51176,0,0,0.03618179038322329,NaN
PRV51177,4,123.86412138260974,0.12500000304748385,2.107142857142857
PRV51178,0,0,0.16666664454432709,NaN
PRV51179,1,0,0.33702281094815395,1.1666666666666665
PRV51180,1,0,2.7972236734339397e-10,2
PRV51181,1,0,4.046588689772958e-10,1
PRV51182,0,0,2.0233597601439894e-10,NaN
PRV51183,0,0,0.002783470353402018,NaN
PRV51184,0,0,2.0233597601439894e-10,NaN
PRV51185,1,0,0.0013349199075595587,1
PRV51186,0,0,0,NaN
PRV51187,1,0,4.366494668703635e-4,1
PRV51188,1,0,0.08380554976469058,1.1666666666666665
PRV51189,0,0,2.0233597601439894e-10,NaN
PRV51190,5,355.5293691039503,2.523034832992701e-7,2.3333333333333335
PRV51191,2,1,0.16666664440943643,2
PRV51192,0,0,0,NaN
PRV51193,2,1.3333333333333333,3.694484782078527e-4,1.5
PRV51194,0,0,0.49999993322830927,NaN
PRV51195,0,0,9.576129276621144e-6,NaN
PRV51196,0,0,0,NaN
PRV51197,1,0,1.4888206806499245e-7,1.5
PRV51198,0,0,4.1517344499913966e-4,NaN
PRV51199,1,0,0,2
PRV51200,2,2,5.547117531222597e-4,1.25
PRV51201,0,0,0.0010910381050499404,NaN
PRV51202,2,1,0.006558394285761616,1
PRV51203,1,0,0,2
PRV51204,0,0,0,NaN
PRV51205,1,0,0.05257602819872965,3
PRV51206,2,3.5,0.003232142022860524,2
PRV51207,1,0,0.001336098208155221,1
PRV51208,2,2,0.261399312460358,2.5
PRV51209,0,0,0,NaN
PRV51210,2,1,0.0065581236706045085,1
PRV51211,1,0,0.07555775979332575,2
PRV51212,1,0,0,2
PRV51213,1,0,0.0013375240315325065,1
PRV51214,0,0,0,NaN
PRV51215,1,0,0.0013325936828009499,1
PRV51216,0,0,2.6978130135253194e-10,NaN
PRV51217,0,0,0,NaN
PRV51218,1,0,0.0013360614880524174,1
PRV51219,0,0,0,NaN
PRV51220,0,0,0,NaN
PRV51221,0,0,0,NaN
PRV51222,1,0,0.001334165724476729,1
PRV51223,0,0,0,NaN
PRV51224,0,0,0,NaN
PRV51225,0,0,0,NaN
PRV51226,1,0,0.0013364950932719833,1
PRV51227,0,0,0,NaN
PRV51228,1,0,0.0013351285242618582,1
PRV51229,1,0,0.001334755843796516,1
PRV51230,1,0,6.668619971366883e-4,1
PRV51231,0,0,0,NaN
PRV51232,1,0,0.0013357520321217939,1
PRV51233,1,0,0.0013341241682438667,1
PRV51234,0,0,0,NaN
PRV51235,0,0,0,NaN
PRV51236,0,0,0,NaN
PRV51237,0,0,0,NaN
PRV51238,1,0,0.0013344645104349467,1
PRV51239,0,0,0,NaN
PRV51240,6,376.2130952380952,0.004407735578090047,5.5
PRV51241,1,0,1.3682919521272854e-4,1
PRV51242,2,0,0.009438388082370634,2.333333333333333
PRV51243,0,0,3.4001213110774765e-4,NaN
PRV51244,5,14.922222222222224,0,6
PRV51245,7,189.59722222222226,1.5959945679733887e-5,2.6363636363636362
PRV51246,1,0,3.2149007567360245e-5,2
PRV51247,4,144.5,0.006281459673667452,2.6
PRV51248,0,0,6.800242622154953e-4,NaN
PRV51249,5,66.10208333333333,0.02228293861833824,7.2
PRV51250,1,0,0,6
PRV51251,4,103.47202380952388,0.005127179660626833,6.25
PRV51252,7,65.92452380952378,0.1852191272716828,2.875
PRV51253,6,28.426984126984138,1.1655722474921642e-4,2.0833333333333335
PRV51254,2,5.573809523809522,1.4818355032558326e-5,5.5
PRV51255,7,224.0113095238095,0.0011798736056995596,3.857142857142857
PRV51256,3,4.314880952380953,0,4
PRV51257,2,11.33333333333333,0.01748791297539356,5.5
PRV51258,1,0,0.07824811036944584,16
PRV51259,1,0,4.700116579042476e-5,1
PRV51260,5,41.454761904761924,0,5
PRV51261,3,64.83333333333333,1.7519227444956793e-4,4.75
PRV51262,1,0,9.997788385576699e-5,2
PRV51263,3,69.60595238095236,0.12260685255767087,9.333333333333334
PRV51264,6,53.101984126984114,0.0018183968417499008,3.6666666666666665
PRV51265,1,0,6.976212522156271e-4,3
PRV51266,2,0,0.142862478281764,1.6
PRV51267,2,68,3.736686752220206e-4,3.5
PRV51268,5,274.44642857142867,1.7148715850059948e-4,4.833333333333333
PRV51269,4,1.8633333333333333,2.087229142229408e-5,2.5
PRV51270,3,235.6226190476191,8.904597072403002e-5,5.333333333333333
PRV51271,9,284.89246031746023,0.036640188544797926,6.708333333333334
PRV51272,1,0,7.796271771702729e-5,1
PRV51273,2,4.607638888888888,1.6859394666187646e-5,6.5
PRV51274,1,0,9.399027048084532e-5,1
PRV51275,5,104.01428571428572,0,4.833333333333333
PRV51276,5,34.878571428571426,1.1969959259800416e-5,4.571428571428571
PRV51277,3,26.284285714285694,0.00174175567219062,4.5
PRV51278,3,129.75595238095235,0.007706662314769423,6
PRV51279,7,152.96071428571423,0,4.777777777777778
PRV51280,4,75.9,0.5142565371170915,4.5
PRV51281,0,0,6.800242622154953e-4,NaN
PRV51282,4,13.708333333333337,2.3939918519600832e-5,4.6
PRV51283,6,52.961309523809526,9.336993086967547e-6,4.857142857142857
PRV51284,4,5.279761904761904,0,3.7142857142857144
PRV51285,3,68.1875,0.003958321366365322,2.25
PRV51286,2,0,1.8673581501983066e-5,6.666666666666667
PRV51287,1,0,9.399842774003046e-5,1
PRV51288,0,0,3.4001213110774765e-4,NaN
PRV51289,0,0,3.4001213110774765e-4,NaN
PRV51290,5,419.2369047619047,0.008257606330625443,6.4
PRV51291,1,0,2.783667638448744e-4,3
PRV51292,3,87.02619047619048,0.009170251959415822,6.666666666666667
PRV51293,1,0,1.3269811062790668e-4,2
PRV51294,4,64.36904761904759,0,6
PRV51295,0,0,3.6395204962734847e-4,NaN
PRV51296,3,96.63336038961039,7.413347874268242e-5,2
PRV51297,3,30.8,0,2
PRV51298,0,0,6.800242622154953e-4,NaN
PRV51299,2,0,0,5
PRV51300,1,0,9.399623928003299e-5,1
PRV51301,3,175.36666666666667,0.014236861589636966,5.25
PRV51302,1,0,0.001413613006202027,2
PRV51303,0,0,2.4263469975156565e-4,NaN
PRV51304,3,22.933333333333334,4.047794818321103e-4,7
PRV51305,1,0,5.402988354587296e-5,1
PRV51306,1,0,3.558351504193447e-4,7
PRV51307,0,0,3.586857126097307e-4,NaN
PRV51308,3,37.91666666666667,5.882641443365195e-4,3.6666666666666665
PRV51309,0,0,3.6395204962734847e-4,NaN
PRV51310,4,68.42380952380952,0,5
PRV51311,3,3.333333333333333,0,2.8333333333333335
PRV51312,2,23,5.74231411464262e-5,1.5
PRV51313,2,126.5,0.07880484548555261,10.5
PRV51314,1,0,5.567332516581807e-4,5
PRV51315,1,0,0,2
PRV51316,1,0,9.399848878675732e-5,1
PRV51317,3,105.15238095238087,1.493357143975263e-4,8.666666666666666
PRV51318,1,0,0,7
PRV51319,1,0,0.00759170641382007,5
PRV51320,2,0,2.1610037936636067e-4,2
PRV51321,2,0,2.1610448528744115e-4,2
PRV51322,2,0,2.160998479424322e-4,2
PRV51323,0,0,6.800242622154953e-4,NaN
PRV51324,0,0,6.800242622154953e-4,NaN
PRV51325,1,0,9.400262503719271e-5,1
PRV51326,0,0,6.800242622154953e-4,NaN
PRV51327,1,0,2.1968085485829834e-4,7
PRV51328,0,0,6.800242622154953e-4,NaN
PRV51329,1,0,2.276938025123877e-4,3
PRV51330,0,0,6.800242622154953e-4,NaN
PRV51331,0,0,6.800242622154953e-4,NaN
PRV51332,1,0,0,11
PRV51333,0,0,6.800242622154953e-4,NaN
PRV51334,0,0,6.800242622154953e-4,NaN
PRV51335,2,48.66666666666667,7.08595734778593e-4,3
PRV51336,1,0,0.0010994397575929118,3.5
PRV51337,3,138.6,7.790565429179587e-6,2
PRV51338,1,0,0.0011045602928884748,8.5
PRV51339,1,0,2.918702001007725e-5,8
PRV51340,5,211.64665671629973,0.0018802127788139571,5.166666666666667
PRV51341,0,0,1.6606953986843668e-4,NaN
PRV51342,5,881.8554184598966,1.49084709524913e-4,5.909090909090909
PRV51343,6,1131.327501709452,4.654283174714148e-5,5.833333333333333
PRV51344,6,5109.946098050295,1.1150734965874474e-4,7.5
PRV51345,5,1314.7766233766245,8.602707121966156e-4,8.166666666666666
PRV51346,8,543.0185006511464,0.014406679335992222,2.2037037037037037
PRV51347,0,0,1.6186878081151916e-10,NaN
PRV51348,1,0,1.8488177294286763e-7,1.75
PRV51349,7,1358.256799081713,2.540245515942453e-4,8
PRV51350,6,113.58343947718964,0.0021190447614945593,3.4
PRV51351,4,1028.5,2.231661008219962e-8,4.5
PRV51352,1,0,1.9734913637462156e-8,5
PRV51353,0,0,8.093439040575958e-10,NaN
PRV51354,0,0,8.093439040575958e-10,NaN
PRV51355,5,1800.0416635890995,4.5515598566762155e-5,8.6
PRV51356,8,2367.878576489246,1.29539363020449e-4,3.15
PRV51357,9,1560.8938187421738,0.3333333333333333,2.5517241379310347
PRV51358,1,0,0.004330913327786243,14
PRV51359,3,1.5,0,2.9166666666666665
PRV51360,4,0.5,0,2.1666666666666665
PRV51361,2,143.10101010101013,1.7493883083863296e-8,4.333333333333333
PRV51362,4,2.0833333333333335,3.338564301551696e-4,2.25
PRV51363,0,0,4.046719520287979e-10,NaN
PRV51364,8,4202.029777021224,5.01643464433255e-7,2.7777777777777777
PRV51365,0,0,4.046719520287979e-10,NaN
PRV51366,1,0,3.220854629942165e-5,19
PRV51367,0,0,8.093439040575958e-10,NaN
PRV51368,0,0,8.093439040575958e-10,NaN
PRV51369,0,0,9.091985557656011e-4,NaN
PRV51370,2,4.473115079365084,6.007983977691553e-6,4.5
PRV51371,5,480.15551581967503,1.6527263310493195e-4,6.5
PRV51372,10,9017.4219265225,0.007987401052524991,4.8
PRV51373,2,24.60571428571428,0.002448304250692451,8
PRV51374,0,0,0.0020250273385195214,NaN
PRV51375,0,0,8.093439040575958e-10,NaN
PRV51376,2,0,0.007244268143452847,3
PRV51377,2,86.75,2.1852615267687044e-4,1.5
PRV51378,4,115.66666666666667,0.14373666284959324,6.666666666666667
PRV51379,0,0,8.093439040575958e-10,NaN
PRV51380,0,0,4.046719520287979e-10,NaN
PRV51381,8,858.4198744932597,1.5504559077655049e-4,5.636363636363637
PRV51382,0,0,8.093439040575958e-10,NaN
PRV51383,6,1584.7620658931307,7.356097175462687e-5,6.142857142857143
PRV51384,9,1521.6462629374116,2.6432486885573417e-5,5.142857142857143
PRV51385,0,0,0.004050054677039043,NaN
PRV51386,4,389.1514285714285,0.0024574950434608205,3.6
PRV51387,1,0,3.5729794646704617e-6,6
PRV51388,4,612.2488506620087,3.2880305974688893e-4,5.833333333333333
PRV51389,3,78.84617604617604,9.5864122346757e-5,5
PRV51390,4,72.30698468198464,4.8760341088779197e-4,4.166666666666667
PRV51391,5,256.865858775727,3.625902325800195e-4,3.125
PRV51392,2,1258.7022214627486,2.5206284765639877e-5,7
PRV51393,3,54.69118566618559,1.1693824870411288e-4,8
PRV51394,2,763.7761904761905,0.11578577277606815,25.5
PRV51395,2,40.46520954890531,4.6231070468930555e-5,5.5
PRV51396,5,843.564614369548,3.889749568992156e-6,3.5
PRV51397,2,0,1.9591427927741347e-8,3.6666666666666665
PRV51398,1,0,2.4383152808343466e-5,2.25
PRV51399,1,0,0.0013500182256876573,1
PRV51400,0,0,4.046719520287979e-10,NaN
PRV51401,2,43.375,0.001689515662941059,1.3703703703703705
PRV51402,3,345,0,3.25
PRV51403,7,1263.9603016076082,3.7947487266906145e-4,5.7
PRV51404,2,25.757619047619055,2.6839248700717135e-4,3.75
PRV51405,4,1747.7585834979282,1.7776546092527367e-4,5.6
PRV51406,2,94.22049247049243,5.086034542125211e-6,11
PRV51407,3,81.63259587634586,0.0020259332580198058,3.4
PRV51408,2,0,2.5508989271650943e-5,4.666666666666667
PRV51409,0,0,4.046719520287979e-10,NaN
PRV51410,1,0,4.046489975695923e-10,1
PRV51411,2,30.84564713064712,0.0024313639521394417,8.5
PRV51412,0,0,8.093439040575958e-10,NaN
PRV51413,1,0,4.04704682198152e-10,1
PRV51414,1,0,3.2425367839857714e-10,3
PRV51415,4,1.1428571428571428,0.0017357376627847763,1.4285714285714286
PRV51416,1,0,5.800031778435402e-9,8
PRV51417,0,0,8.093439040575958e-10,NaN
PRV51418,6,623.4614451520698,4.960206336548748e-5,5.5
PRV51419,3,1250.6059884559872,1.0821101281660949e-5,3.75
PRV51420,3,1.3333333333333333,5.680865873048758e-4,4.75
PRV51421,4,57.19605061605065,1.3197665974550249e-5,4.4
PRV51422,3,57.95506854256859,8.623586155214781e-5,7.666666666666667
PRV51423,0,0,8.093439040575958e-10,NaN
PRV51424,5,1201,1.526172235045948e-4,2.3333333333333335
PRV51425,6,591.0717312880346,0.0012415369689424303,7.285714285714286
PRV51426,6,7428.454331385621,4.1029019991720866e-4,6.5
PRV51427,7,871.661152463098,3.2588168100661734e-4,4.2
PRV51428,1,0,0,6
PRV51429,0,0,4.046719520287979e-10,NaN
PRV51430,0,0,1.3489065067626597e-10,NaN
PRV51431,3,376.3570929070928,1.524643399117097e-4,5
PRV51432,5,2031.2415420836467,2.262924454416078e-6,4.333333333333333
PRV51433,0,0,1.6186878081151916e-10,NaN
PRV51434,3,231,4.9143522742458114e-8,1.3333333333333333
PRV51435,2,0,1.481535069354752e-4,3.6
PRV51436,7,721.854773004773,2.0845122928339025e-5,4
PRV51437,0,0,8.093439040575958e-10,NaN
PRV51438,1,0,2.847163646075514e-4,10
PRV51439,2,59.902380952380874,3.36246138755211e-4,12
PRV51440,5,96.72776945276946,0.0030154142084723545,3.25
PRV51441,4,360.2294823232319,0.0072937656143634766,4.5
PRV51442,2,1464.960131535131,3.6117893133682774e-5,7
PRV51443,7,1631.8991848225814,0.024651840188315063,2.740740740740741
PRV51444,2,0,0.02174146297319901,3.6666666666666665
PRV51445,1,0,8.692578873715714e-10,4
PRV51446,2,86.75,1.5864155200854057e-9,3.3333333333333335
PRV51447,2,0,0.0013500182574781032,2
PRV51448,7,463.2254599567098,2.8700814250559305e-5,3.1
PRV51449,2,86.25,6.665313769029778e-4,3.25
PRV51450,3,0,0,1.8888888888888888
PRV51451,2,0,7.317669757913684e-6,6.5
PRV51452,1,0,8.740409101383646e-4,8
PRV51453,2,725.2534410034409,2.500595984002556e-7,5
PRV51454,3,1263.6916666666666,2.2989066381469215e-6,5.333333333333333
PRV51455,4,1618.3052108064414,1.96318864151233e-5,4
PRV51456,5,400.4628624543094,1.7528506663661426e-4,3.2857142857142856
PRV51457,3,35.34444444444444,3.345702618177546e-5,3
PRV51458,3,1.9764346764346763,3.0500825077974536e-6,5.2
PRV51459,1,0,1.0822229370576893e-5,5
PRV51460,1,0,0.0043061344239604706,9
PRV51461,4,3069.5658881323347,3.5874342080506777e-6,5
PRV51462,1,0,4.457489156884655e-6,8
PRV51463,3,115.83333333333333,1.0212140033350377e-4,2
PRV51464,2,26.862793040293028,8.558204330243677e-4,2.75
PRV51465,3,1035,1.0729938667400045e-7,3.25
PRV51466,6,308.89940545565526,7.173650911778808e-5,5.571428571428571
PRV51467,4,1996.1890266145301,7.037479448723035e-7,3.6666666666666665
PRV51468,9,1902.013842452574,1.3693721998835894e-4,4.2727272727272725
PRV51469,1,0,4.046629856970497e-10,1
PRV51470,3,173.5,1.6282901693540388e-5,2.8333333333333335
PRV51471,0,0,2.0233597601439894e-10,NaN
PRV51472,1,0,4.45748913386796e-6,8
PRV51473,6,540.0086249520455,1.4894164600899056e-5,3.5
PRV51474,4,2742.603174603174,0.004684792036532917,6.6
PRV51475,7,1898.2800088800086,7.085430386793938e-4,5
PRV51476,2,0,9.72182555015004e-4,5.5
PRV51477,0,0,2.6978130135253194e-10,NaN
PRV51478,3,459.6666666666667,0,7.75
PRV51479,3,53.23076923076923,4.2521560071655354e-4,1.4814814814814816
PRV51480,0,0,0.0024300328062234256,NaN
PRV51481,0,0,8.093439040575958e-10,NaN
PRV51482,3,69.4,0.0026070416176877604,2.8333333333333335
PRV51483,4,128.637264957265,1.418885459627822e-6,1.8
PRV51484,9,12225.256932430011,0.0054644215378701795,4.818181818181818
PRV51485,5,991.298820653032,9.411587602048373e-4,5.375
PRV51486,4,213.12857142857132,0.0013520548590447545,4.714285714285714
PRV51487,0,0,8.093439040575958e-10,NaN
PRV51488,1,0,7.98010772554614e-6,1
PRV51489,0,0,8.093439040575958e-10,NaN
PRV51490,1,0,4.547286646368239e-5,5
PRV51491,6,431.62491075699063,4.040523040006785e-5,2.3125
PRV51492,1,0,4.328584572188881e-7,2
PRV51493,6,1287.6196929652363,2.9822160866012958e-5,8.833333333333334
PRV51494,2,0.125,8.086347686630228e-12,5
PRV51495,1,0,1.369296616316608e-10,1
PRV51496,0,0,4.046719520287979e-10,NaN
PRV51497,1,0,5.850529718742737e-7,3
PRV51498,1,0,4.0465870186596884e-10,1
PRV51499,0,0,4.046719520287979e-10,NaN
PRV51500,0,0,4.046719520287979e-10,NaN
PRV51501,0,0,2.6978130135253194e-10,NaN
PRV51502,4,317.7128082443871,1.6548806999694665e-7,2.8
PRV51503,1,0,2.7388143828170345e-10,1
PRV51504,1,0,6.233628849966703e-9,7
PRV51505,2,86.75000000000001,0.0030465690779772395,4.5
PRV51506,1,0,9.874693195486892e-10,2
PRV51507,2,21.317261904761907,1.6653467386138995e-4,9.333333333333334
PRV51508,2,34.7,0.0018942382377484387,3
PRV51509,0,0,8.093439040575958e-10,NaN
PRV51510,3,173.5,2.7475644278744657e-5,3.142857142857143
PRV51511,4,2215.848490398487,6.933888241765119e-7,5
PRV51512,2,0.3333333333333333,0.3333333335535,1.2142857142857144
PRV51513,1,0,5.594444054346435e-10,2
PRV51514,2,0.2222222222222222,1.7971941551467972e-6,4.333333333333333
PRV51515,5,896.7619286002581,1.7085853423468716e-4,8
PRV51516,2,1.25,3.3370146640242e-4,1.75
PRV51517,1,0,8.092955197522188e-10,1
PRV51518,3,1719,3.0799516061355224e-5,6
PRV51519,3,262.8599497724501,5.1597105129305984e-5,6
PRV51520,1,0,1.2483418850803967e-6,11
PRV51521,1,0,2.1139464361947104e-5,8
PRV51522,12,6754.237166296384,0.005508723703345341,3.3333333333333335
PRV51523,2,0,2.435396956432074e-7,6.5
PRV51524,2,0,1.833845588049336e-5,4.25
PRV51525,3,28.633333333333347,0.0016038000320859407,4.2
PRV51526,0,0,8.093439040575958e-10,NaN
PRV51527,3,2267.8744273040397,4.6908571580124895e-4,12.333333333333334
PRV51528,1,0,2.571052177118788e-10,1.5
PRV51529,2,537.2747203745485,1.432869033274246e-4,10.5
