,Provider,PotentialFraud,AttendingPhysician,logattnd,BeneID,logpts,meanDiagCodes,DiagcodesRange,meanProcCodes,ProcCodesRange,MeanReimburse,ReimburseRange,ClaimCount,logClmCount,ClmsPerPhysician,ClmsPerPatnt,LogClmsPerPhysician,LogClmsPerPatnt
27,PRV56490,No,5,1.791759469228055,11,2.4849066497880004,8.0,7,0.6363636363636364,1,7090.909090909091,19000,11,2.4849066497880004,2.2,1.0,0.830998073013671,0.09448414308132681
28,PRV55462,Yes,1,0.6931471805599453,308,5.733341276897746,8.018134715025907,9,0.7357512953367875,3,11036.528497409327,57000,386,5.958424693029782,386.0,1.2532467532467533,5.946148662416259,0.3024766396895418
29,PRV51550,No,7,2.0794415416798357,16,2.833213344056216,7.9375,7,0.9375,2,6625.0,25000,16,2.833213344056216,2.2857142857142856,1.0,0.8681308968229817,0.09474219160320908
30,PRV57523,No,12,2.5649493574615367,14,2.70805020110221,7.066666666666666,9,0.8,3,8666.666666666666,25000,15,2.772588722239781,1.25,1.0714285714285714,0.2993333326363891,0.15757094823205642
31,PRV52898,No,25,3.258096538021482,45,3.828641396489095,7.770833333333333,8,0.7083333333333334,3,10687.5,57000,48,3.8918202981106265,1.92,1.0666666666666667,0.7027173931759279,0.1539475297303809
32,PRV51842,Yes,2,1.0986122886681098,89,4.499809670330265,7.811965811965812,8,0.7863247863247863,4,9963.247863247863,45000,117,4.770684624465665,58.5,1.3146067415730338,4.0657556874587355,0.3467471608596727
33,PRV51560,Yes,1,0.6931471805599453,167,5.123963979403259,8.18,9,0.77,3,9723.0,57000,200,5.303304908059076,200.0,1.1976047904191616,5.288871908225282,0.2604648323428053
34,PRV51164,No,2,1.0986122886681098,40,3.713572066704308,8.487804878048781,6,0.6341463414634146,2,10804.878048780487,39000,41,3.7376696182833684,20.5,1.025,3.0203278058346004,0.1175552888764885
35,PRV51146,Yes,5,1.791759469228055,157,5.062595033026967,8.0,9,0.691358024691358,3,9988.888888888889,57000,162,5.093750200806762,32.4,1.0318471337579618,3.479248240500238,0.12379286501935606
36,PRV54936,Yes,11,2.4849066497880004,120,4.795790545596741,7.916030534351145,8,0.6870229007633588,2,8522.137404580153,57000,131,4.882801922586371,11.909090909090908,1.0916666666666666,2.4847628307877487,0.17527655059909927
37,PRV57341,Yes,17,2.8903717578961645,70,4.2626798770413155,7.623376623376624,9,0.6753246753246753,2,10077.922077922078,57000,77,4.356708826689592,4.529411764705882,1.1,1.5318544554151652,0.18219061454525107
38,PRV53769,Yes,2,1.0986122886681098,126,4.844187086458591,8.393939393939394,9,0.7196969696969697,3,12309.848484848484,73000,132,4.890349128221754,66.0,1.0476190476190477,4.186188769614513,0.137616956448472
39,PRV51140,No,2,1.0986122886681098,45,3.828641396489095,7.957446808510638,7,0.5319148936170213,3,6540.425531914893,16000,47,3.871201010907891,23.5,1.0444444444444445,3.156280356736774,0.13471653765206074
40,PRV55005,No,2,1.0986122886681098,56,4.04305126783455,7.767857142857143,9,0.5,2,8928.57142857143,42000,56,4.04305126783455,28.0,1.0,3.3307998282646634,0.0951478579522009
41,PRV53431,No,1,0.6931471805599453,1,0.6931471805599453,10.0,0,1.0,0,21000.0,0,1,0.6931471805599453,1.0,1.0,0.08626852688737491,0.08626852688737491
42,PRV52019,Yes,187,5.236441962829949,458,6.129050210060545,8.087209302325581,9,0.7635658914728682,4,10815.639534883721,98000,516,6.248042874508429,2.7593582887700534,1.1266375545851528,1.0505456207999015,0.20425667672447853
43,PRV54955,Yes,3,1.3862943611198906,191,5.2574953720277815,8.078048780487805,9,0.6585365853658537,3,10234.146341463415,57000,205,5.327876168789581,68.33333333333333,1.0732984293193717,4.222537116172845,0.1597710603935006
44,PRV56268,Yes,47,3.871201010907891,57,4.060443010546419,7.868852459016393,8,0.7868852459016393,3,10772.131147540984,47000,61,4.127134385045092,1.297872340425532,1.0701754385964912,0.33475380103884433,0.15699325426944927
45,PRV53807,No,4,1.6094379124341003,36,3.6109179126442243,8.38888888888889,6,0.7777777777777778,3,9563.888888888889,42000,36,3.6109179126442243,9.0,1.0,2.2058050054743266,0.09505769280606385
46,PRV54720,No,1,0.6931471805599453,9,2.302585092994046,8.666666666666666,5,1.0,3,14111.111111111111,23000,9,2.302585092994046,9.0,1.0,2.1984339667420505,0.09430069052013113
47,PRV57437,No,5,1.791759469228055,6,1.9459101490553132,7.5,4,0.5,2,9000.0,20000,6,1.9459101490553132,1.2,1.0,0.26052009612555843,0.09379640415951762
48,PRV54692,Yes,1,0.6931471805599453,38,3.6635616461296463,8.166666666666666,6,0.6041666666666666,3,7729.166666666667,50000,48,3.8918202981106265,48.0,1.263157894736842,3.8633526360632278,0.3095601710972456
49,PRV55903,No,20,3.044522437723423,20,3.044522437723423,8.347826086956522,7,0.5217391304347826,2,8130.434782608696,32000,23,3.1780538303479458,1.15,1.15,0.22268367547258006,0.22268367547258006
50,PRV55670,Yes,3,1.3862943611198906,8,2.1972245773362196,8.333333333333334,5,0.7777777777777778,2,10888.888888888889,17000,9,2.302585092994046,3.0,1.125,1.1281818424995456,0.20179366020677508
51,PRV52178,Yes,3,1.3862943611198906,118,4.77912349311153,8.180451127819548,9,0.7518796992481203,4,10371.42857142857,57000,133,4.897839799950911,44.333333333333336,1.1271186440677967,3.7906696502712087,0.20459101936745994
52,PRV52173,Yes,2,1.0986122886681098,108,4.6913478822291435,8.134453781512605,9,0.865546218487395,4,11608.403361344537,72500,119,4.787491742782046,59.5,1.1018518518518519,4.082676421786821,0.18377869297017646
53,PRV56575,Yes,1,0.6931471805599453,102,4.634728988229636,8.185840707964601,8,0.6371681415929203,3,8477.87610619469,57000,113,4.736198448394496,113.0,1.107843137254902,4.718330893962799,0.18874632025516702
54,PRV57086,No,1,0.6931471805599453,6,1.9459101490553132,8.833333333333334,3,1.1666666666666667,3,8833.333333333334,7000,6,1.9459101490553132,6.0,1.0,1.7985023613165472,0.09379640415951762
55,PRV55666,No,3,1.3862943611198906,19,2.995732273553991,7.421052631578948,8,0.631578947368421,2,6578.9473684210525,11000,19,2.995732273553991,6.333333333333333,1.0,1.8582168292792864,0.09483184821575379
56,PRV52280,Yes,4,1.6094379124341003,38,3.6635616461296463,8.170731707317072,7,0.7560975609756098,3,9634.146341463415,31000,41,3.7376696182833684,10.25,1.0789473684210527,2.3345137938104457,0.16438117759923426
57,PRV51277,No,6,1.9459101490553132,10,2.3978952727983707,8.5,6,0.9,3,12100.0,50000,10,2.3978952727983707,1.6666666666666667,1.0,0.5675235877438445,0.09440158443016944
58,PRV53233,No,4,1.6094379124341003,12,2.5649493574615367,8.307692307692308,4,0.9230769230769231,2,7384.615384615385,10000,13,2.6390573296152584,3.25,1.0833333333333333,1.2065380897196136,0.16757274857098384
59,PRV56703,No,6,1.9459101490553132,21,3.091042453358316,7.809523809523809,6,0.6666666666666666,3,8580.952380952382,32000,21,3.091042453358316,3.5,1.0,1.279314861367659,0.09487739177714193
60,PRV51948,Yes,1,0.6931471805599453,130,4.875197323201151,7.944055944055944,9,0.6363636363636364,3,9865.734265734265,69000,143,4.969813299576001,143.0,1.1,4.953600343805016,0.18225104691132452
61,PRV55918,No,2,1.0986122886681098,2,1.0986122886681098,9.0,0,0.0,0,8500.0,5000,2,1.0986122886681098,1.0,1.0,0.09077708047334043,0.09077708047334043
62,PRV52279,No,2,1.0986122886681098,76,4.343805421853684,7.963414634146342,8,0.573170731707317,3,9548.780487804877,57000,82,4.418840607796598,41.0,1.0789473684210527,3.711032745367273,0.16450157005494123
63,PRV55482,Yes,16,2.833213344056216,38,3.6635616461296463,8.121951219512194,8,0.8780487804878049,2,12195.121951219513,56000,41,3.7376696182833684,2.5625,1.0789473684210527,0.978664200169591,0.16438117759923426
64,PRV55396,No,13,2.6390573296152584,15,2.772588722239781,8.733333333333333,5,0.6666666666666666,2,9400.0,14000,15,2.772588722239781,1.1538461538461537,1.0,0.22550816309973887,0.09470433948529736
65,PRV54653,No,15,2.772588722239781,31,3.4657359027997265,8.45,6,0.775,2,9275.0,42000,40,3.713572066704308,2.6666666666666665,1.2903225806451613,1.017000877686511,0.32923646558433417
66,PRV54949,No,2,1.0986122886681098,35,3.58351893845611,8.30952380952381,6,0.7142857142857143,2,10000.0,45000,42,3.7612001156935624,21.0,1.2,3.0443091953726844,0.26210056877079546
67,PRV54776,No,5,1.791759469228055,5,1.791759469228055,7.2,7,0.8,2,6000.0,12000,5,1.791759469228055,1.0,1.0,0.09349397879654764,0.09349397879654764
68,PRV53961,Yes,2,1.0986122886681098,92,4.532599493153256,8.360824742268042,9,0.6701030927835051,3,8184.5360824742265,57000,97,4.584967478670572,48.5,1.0543478260869565,3.878646277408331,0.14343625816509348
69,PRV51868,Yes,1,0.6931471805599453,82,4.418840607796598,7.44,8,0.85,5,10930.6,57000,100,4.61512051684126,100.0,1.2195121951219512,4.596229345428097,0.27714941746553046
70,PRV55667,Yes,4,1.6094379124341003,33,3.5263605246161616,7.947368421052632,8,0.868421052631579,3,10057.368421052632,45920,38,3.6635616461296463,9.5,1.1515151515151516,2.2592922596027916,0.22407616688381432
71,PRV52979,No,2,1.0986122886681098,6,1.9459101490553132,7.833333333333333,4,0.6666666666666666,1,11333.333333333334,17000,6,1.9459101490553132,3.0,1.0,1.1265758472967566,0.09379640415951762
72,PRV54875,Yes,3,1.3862943611198906,19,2.995732273553991,8.3,7,0.85,2,8600.0,25000,20,3.044522437723423,6.666666666666667,1.0526315789473684,1.908730067157414,0.14156714138009208
73,PRV55414,No,1,0.6931471805599453,2,1.0986122886681098,9.5,1,1.0,2,5000.0,0,2,1.0986122886681098,2.0,1.0,0.7324630910096953,0.09077708047334043
74,PRV52120,Yes,7,2.0794415416798357,143,4.969813299576001,8.018181818181818,9,0.696969696969697,3,9849.69696969697,57000,165,5.111987788356544,23.571428571428573,1.1538461538461537,3.1628472583708254,0.22615139995553166
75,PRV57555,No,15,2.772588722239781,26,3.295836866004329,8.222222222222221,8,0.8888888888888888,4,12103.703703703704,57000,27,3.332204510175204,1.8,1.0384615384615385,0.641222528732973,0.12932706508257913
76,PRV55495,Yes,17,2.8903717578961645,24,3.2188758248682006,7.833333333333333,7,0.75,2,11625.0,44000,24,3.2188758248682006,1.411764705882353,1.0,0.4127284952422462,0.09493147798960432
77,PRV52038,No,18,2.9444389791664403,21,3.091042453358316,7.909090909090909,7,0.9090909090909091,3,7863.636363636364,17000,22,3.1354942159291497,1.2222222222222223,1.0476190476190477,0.2788004374136056,0.13725481855479105
78,PRV55208,No,7,2.0794415416798357,7,2.0794415416798357,8.0,6,0.42857142857142855,1,9714.285714285714,28000,7,2.0794415416798357,1.0,1.0,0.09401248951061449,0.09401248951061449
79,PRV56350,Yes,42,3.7612001156935624,57,4.060443010546419,7.96969696969697,8,0.7121212121212122,2,11818.181818181818,57000,66,4.204692619390966,1.5714285714285714,1.1578947368421053,0.5134548707632607,0.2292780034662204
80,PRV56592,Yes,9,2.302585092994046,51,3.9512437185814275,8.571428571428571,6,0.873015873015873,3,11530.15873015873,68000,63,4.1588830833596715,7.0,1.2352941176470589,1.9589999390930604,0.28897020540063056
81,PRV55230,Yes,4,1.6094379124341003,197,5.288267030694535,8.302222222222222,9,0.7244444444444444,3,11192.666666666666,57000,225,5.420534999272286,56.25,1.1421319796954315,4.0290897968345885,0.21678256820598288
82,PRV53242,Yes,3,1.3862943611198906,91,4.5217885770490405,8.352380952380953,7,0.7523809523809524,3,10876.190476190477,57000,105,4.663439094112067,35.0,1.1538461538461537,3.554882837010216,0.22611463048225292
83,PRV53266,Yes,19,2.995732273553991,81,4.406719247264253,8.034090909090908,9,0.7159090909090909,3,10353.40909090909,58900,88,4.48863636973214,4.631578947368421,1.0864197530864197,1.5537439083858942,0.17082711790696992
84,PRV54894,Yes,23,3.1780538303479458,120,4.795790545596741,8.13768115942029,9,0.7318840579710145,3,12548.550724637682,103000,138,4.9344739331306915,6.0,1.15,1.8078612106194887,0.2230668880973504
85,PRV53808,Yes,1,0.6931471805599453,185,5.225746673713202,7.887179487179488,9,0.6871794871794872,4,9508.71794871795,57000,195,5.278114659230517,195.0,1.054054054054054,5.263567042339389,0.14323163882694845
86,PRV51178,Yes,1,0.6931471805599453,33,3.5263605246161616,8.647058823529411,6,0.7941176470588235,2,12411.764705882353,41000,34,3.5553480614894135,34.0,1.0303030303030303,3.519376378519515,0.1222095900767706
87,PRV51159,Yes,1,0.6931471805599453,60,4.110873864173311,8.03076923076923,8,0.6461538461538462,2,9779.384615384615,56940,65,4.189654742026425,65.0,1.0833333333333333,4.16598957922648,0.16818274644775058
88,PRV54085,No,47,3.871201010907891,58,4.07753744390572,8.586206896551724,6,0.8448275862068966,3,9517.241379310344,28000,58,4.07753744390572,1.2340425531914894,1.0,0.28801705143897,0.09515345473112694
89,PRV54560,Yes,28,3.367295829986474,36,3.6109179126442243,7.875,8,0.525,2,11400.0,48000,40,3.713572066704308,1.4285714285714286,1.1111111111111112,0.42399987752876994,0.19128340821100043
90,PRV54917,No,1,0.6931471805599453,15,2.772588722239781,7.266666666666667,9,0.7333333333333333,3,7266.666666666667,13000,15,2.772588722239781,15.0,1.0,2.704810635940484,0.09470433948529736
91,PRV56416,Yes,12,2.5649493574615367,189,5.247024072160486,8.121495327102803,9,0.8130841121495327,3,10920.794392523365,57000,214,5.3706380281276624,17.833333333333332,1.1322751322751323,2.8858328390250896,0.20881354685649078
92,PRV54399,Yes,5,1.791759469228055,13,2.6390573296152584,7.461538461538462,8,0.6923076923076923,2,12384.615384615385,29000,13,2.6390573296152584,2.6,1.0,0.9913278416783358,0.09461117236638439
93,PRV54348,No,3,1.3862943611198906,85,4.454347296253507,8.12087912087912,9,0.8571428571428571,3,10087.912087912087,86000,91,4.5217885770490405,30.333333333333332,1.0705882352941176,3.412221661682675,0.1573987977360325
94,PRV52402,No,1,0.6931471805599453,56,4.04305126783455,8.350877192982455,8,0.6666666666666666,3,9385.964912280702,52000,57,4.060443010546419,57.0,1.0178571428571428,4.034871298790295,0.11125100619761649
95,PRV52621,No,14,2.70805020110221,21,3.091042453358316,7.666666666666667,8,0.6666666666666666,2,7333.333333333333,16000,24,3.2188758248682006,1.7142857142857142,1.1428571428571428,0.5950171829793343,0.2169751129140145
96,PRV51244,Yes,4,1.6094379124341003,166,5.117993812416755,8.115,9,0.73,3,8980.5,57000,200,5.303304908059076,50.0,1.2048192771084338,3.911529117899742,0.2660089238554191
97,PRV53620,No,4,1.6094379124341003,5,1.791759469228055,8.666666666666666,3,0.6666666666666666,1,6333.333333333333,7000,6,1.9459101490553132,1.5,1.2,0.46766298684138863,0.26052009612555843
98,PRV53385,Yes,7,2.0794415416798357,88,4.48863636973214,8.09433962264151,9,0.8867924528301887,3,9955.66037735849,49000,106,4.672828834461906,15.142857142857142,1.2045454545454546,2.722692829288519,0.2657497502632007
99,PRV51501,Yes,2,1.0986122886681098,207,5.337538079701318,8.174887892376681,9,0.6636771300448431,5,9284.663677130045,57000,223,5.4116460518550396,111.5,1.077294685990338,4.709937988712873,0.16317496275130622
100,PRV57172,Yes,24,3.2188758248682006,79,4.382026634673881,7.943181818181818,8,0.7159090909090909,2,10172.727272727272,52000,88,4.48863636973214,3.6666666666666665,1.1139240506329113,1.3257849190506887,0.19374198262905995
101,PRV52021,Yes,1,0.6931471805599453,153,5.0369526024136295,8.077348066298342,9,0.6961325966850829,3,10008.28729281768,82000,181,5.204006687076795,181.0,1.1830065359477124,5.189104555832109,0.24914591677922268
102,PRV54778,Yes,1,0.6931471805599453,60,4.110873864173311,8.046875,8,0.65625,3,8343.75,33000,64,4.174387269895637,64.0,1.0666666666666667,4.150509633575793,0.15399831266018346
103,PRV55169,No,65,4.189654742026425,79,4.382026634673881,8.301204819277109,7,0.9036144578313253,3,9732.530120481928,57000,83,4.430816798843313,1.2769230769230768,1.0506329113924051,0.3197086941863703,0.14019657548838965
104,PRV52630,Yes,2,1.0986122886681098,78,4.3694478524670215,7.9655172413793105,8,0.8045977011494253,3,8901.149425287356,28000,87,4.477336814478207,43.5,1.1153846153846154,3.7700810766681023,0.19494293412832575
105,PRV56412,No,1,0.6931471805599453,8,2.1972245773362196,9.11111111111111,2,0.6666666666666666,1,9666.666666666666,18000,9,2.302585092994046,9.0,1.125,2.1984339667420505,0.20179366020677508
106,PRV57173,Yes,41,3.7376696182833684,90,4.51085950651685,8.395833333333334,7,0.65625,4,10541.666666666666,120000,96,4.574710978503383,2.341463414634146,1.0666666666666667,0.8923637368772973,0.1540490986527021
107,PRV57412,No,8,2.1972245773362196,7,2.0794415416798357,9.0,0,1.0,2,6555.555555555556,19000,9,2.302585092994046,1.125,1.2857142857142858,0.20179366020677508,0.3248912719326479
108,PRV52985,Yes,38,3.6635616461296463,92,4.532599493153256,7.991735537190083,9,0.7851239669421488,4,11247.933884297521,71000,121,4.804021044733257,3.1842105263157894,1.315217391304348,1.1888711857225802,0.3471821434422557
109,PRV52045,Yes,34,3.5553480614894135,44,3.8066624897703196,8.108695652173912,7,0.717391304347826,2,11363.04347826087,82000,46,3.8501476017100584,1.3529411764705883,1.0454545454545454,0.37331606788486754,0.13559413532732884
110,PRV54998,Yes,1,0.6931471805599453,51,3.9512437185814275,7.813559322033898,8,0.7796610169491526,4,8983.050847457627,33000,59,4.0943445622221,59.0,1.1568627450980393,4.0692975138895084,0.22843827249412574
111,PRV51590,Yes,1,0.6931471805599453,79,4.382026634673881,8.098765432098766,8,0.6790123456790124,3,9641.975308641975,55000,81,4.406719247264253,81.0,1.0253164556962024,4.385744960648407,0.1179489643158779
112,PRV51823,No,2,1.0986122886681098,8,2.1972245773362196,8.375,2,0.25,1,5500.0,10000,8,2.1972245773362196,4.0,1.0,1.4061213759832898,0.0941745903114069
113,PRV54882,Yes,27,3.332204510175204,32,3.4965075614664802,8.125,6,0.8125,2,9656.25,34000,32,3.4965075614664802,1.1851851851851851,1.0,0.2505613371768499,0.09502613730965835
114,PRV52903,Yes,1,0.6931471805599453,158,5.0689042022202315,7.982035928143713,9,0.7964071856287425,4,9278.922155688622,57000,167,5.123963979403259,167.0,1.0569620253164558,5.108648089170728,0.14573980730119776
115,PRV51173,Yes,6,1.9459101490553132,7,2.0794415416798357,7.714285714285714,6,1.1428571428571428,2,12857.142857142857,26000,7,2.0794415416798357,1.1666666666666667,1.0,0.2348550690367873,0.09401248951061449
116,PRV52150,No,26,3.295836866004329,31,3.4657359027997265,7.935483870967742,8,0.9032258064516129,2,11870.967741935483,55000,31,3.4657359027997265,1.1923076923076923,1.0,0.25607474897048355,0.09501697626032561
117,PRV52617,No,5,1.791759469228055,39,3.6888794541139363,8.452380952380953,7,0.8333333333333334,3,8309.52380952381,57000,42,3.7612001156935624,8.4,1.0769230769230769,2.1380916899685505,0.16266887980298703
118,PRV53635,No,1,0.6931471805599453,5,1.791759469228055,8.4,6,1.0,2,16400.0,50000,5,1.791759469228055,5.0,1.0,1.6194862680876214,0.09349397879654764
119,PRV55911,Yes,5,1.791759469228055,37,3.6375861597263857,8.021739130434783,9,0.6521739130434783,3,8739.130434782608,30000,46,3.8501476017100584,9.2,1.2432432432432432,2.228037902641644,0.2948369072264456
120,PRV57548,Yes,2,1.0986122886681098,87,4.477336814478207,8.009345794392523,9,0.8130841121495327,4,9705.607476635514,52000,107,4.68213122712422,53.5,1.2298850574712643,3.9765708548804173,0.2849862226266978
121,PRV56231,Yes,11,2.4849066497880004,29,3.4011973816621555,7.5,8,0.75,3,10943.75,57000,32,3.4965075614664802,2.909090909090909,1.103448275862069,1.1007595426724335,0.1848748839597
122,PRV56253,Yes,7,2.0794415416798357,54,4.007333185232471,8.317460317460318,7,0.5714285714285714,2,9119.047619047618,51000,63,4.1588830833596715,9.0,1.1666666666666667,2.2068625599955247,0.2362182297998766
123,PRV54657,No,12,2.5649493574615367,17,2.8903717578961645,7.764705882352941,8,1.0,3,16882.352941176472,98000,17,2.8903717578961645,1.4166666666666667,1.0,0.4157369015363784,0.09477559195881244
124,PRV52918,No,1,0.6931471805599453,12,2.5649493574615367,8.0,8,0.6153846153846154,1,8361.538461538461,15300,13,2.6390573296152584,13.0,1.0833333333333333,2.5627382323183654,0.16757274857098384
125,PRV51447,Yes,15,2.772588722239781,16,2.833213344056216,8.0,7,0.875,2,15375.0,76000,16,2.833213344056216,1.0666666666666667,1.0,0.15354137650864988,0.09474219160320908
126,PRV52359,No,24,3.2188758248682006,39,3.6888794541139363,8.333333333333334,7,0.7380952380952381,3,9833.333333333334,30000,42,3.7612001156935624,1.75,1.0769230769230769,0.6147915814739116,0.16266887980298703
127,PRV55996,Yes,1,0.6931471805599453,25,3.258096538021482,8.137931034482758,8,0.7586206896551724,4,8155.172413793103,26000,29,3.4011973816621555,29.0,1.16,3.3608222069950093,0.23074354646991108
128,PRV55194,Yes,1,0.6931471805599453,139,4.941642422609304,7.928994082840236,8,0.8224852071005917,4,9550.295857988165,57000,169,5.135798437050262,169.0,1.2158273381294964,5.1205458386944365,0.2743991498614344
129,PRV55262,No,3,1.3862943611198906,15,2.772588722239781,8.125,7,0.5,2,7187.5,46000,16,2.833213344056216,5.333333333333333,1.0666666666666667,1.6892863768633684,0.15354137650864988
130,PRV55813,No,1,0.6931471805599453,7,2.0794415416798357,7.714285714285714,3,1.0,2,5428.571428571428,11000,7,2.0794415416798357,7.0,1.0,1.9502852883467885,0.09401248951061449
131,PRV56762,No,1,0.6931471805599453,1,0.6931471805599453,7.0,0,0.0,0,3000.0,0,1,0.6931471805599453,1.0,1.0,0.08626852688737491,0.08626852688737491
132,PRV55832,No,37,3.6375861597263857,41,3.7376696182833684,7.933333333333334,7,0.6,3,9311.111111111111,30000,45,3.828641396489095,1.2162162162162162,1.0975609756097562,0.2745114173605658,0.18006346178788873
133,PRV54767,No,6,1.9459101490553132,8,2.1972245773362196,8.5,7,0.25,1,5875.0,10000,8,2.1972245773362196,1.3333333333333333,1.0,0.35845372702222644,0.0941745903114069
